,main_offense_count,identity_theft_count,stolen_property_offenses_count,pocket____picking_count,theft_from_coin_machine_count,shoplifting_count,robbery_count,motor_vehicle_theft_count,embezzlement_count,theft_from_building_count,theft_of_motor_vehicle_parts__count,counterfeiting__forgery_count,purse_snatching_count,credit_card_fraud_count,theft_from_motor_vehicle_count,burglary__breaking_entering_count,all_other_larceny_count,data_year
0,450,0,0,0,1,35,3,38,2,15,19,31,0,10,12,57,24,1991
1,483,0,0,0,0,50,8,38,0,18,11,28,0,8,15,38,30,1992
2,841,0,0,0,4,118,9,58,0,22,32,31,0,20,62,87,118,1993
3,1193,0,0,0,7,112,8,79,0,39,32,68,1,39,89,107,201,1994
4,1637,0,0,1,0,103,6,162,1,81,27,79,0,37,117,183,231,1995
5,1939,0,0,1,1,100,10,199,3,94,42,110,4,65,119,224,300,1996
6,3149,0,0,1,7,172,18,271,8,111,64,228,1,70,185,287,433,1997
7,3993,0,0,0,2,151,21,289,12,188,63,338,4,80,195,397,515,1998
8,4289,0,0,1,3,234,19,435,21,164,58,376,2,68,183,377,537,1999
9,5514,0,0,4,2,265,40,624,31,214,82,408,7,119,248,441,654,2000
10,7415,0,0,1,8,408,47,927,57,272,108,523,11,138,393,566,755,2001
11,8616,0,0,3,8,431,76,950,39,317,163,689,6,180,367,688,833,2002
12,9659,0,0,8,6,426,84,1013,29,306,153,836,9,223,427,806,967,2003
13,12713,0,0,9,10,561,103,1309,28,416,211,1083,18,308,459,955,1207,2004
14,14413,0,0,10,7,609,121,1986,29,412,209,1147,10,304,527,1058,1232,2005
15,57820,0,0,32,20,2124,636,6796,140,1980,820,3816,64,1296,2176,4692,5568,2006
16,61892,0,0,36,32,2772,616,4932,116,2484,852,3696,52,1440,2748,5752,6492,2007
17,61492,0,0,80,28,3056,728,4312,172,2736,752,3296,52,1588,3068,6264,7380,2008
18,66216,4,0,56,12,3464,672,3500,132,2964,740,3392,112,1628,4300,7356,8208,2009
19,17408,0,0,20,9,766,189,801,60,856,208,800,28,395,1014,2010,2247,2010
20,19662,1,0,14,13,917,158,926,49,896,188,793,17,445,1203,2439,2888,2011
21,23360,1,0,25,18,1050,209,1085,54,1148,186,950,23,574,1219,2993,3251,2012
22,24693,0,0,22,10,1128,200,1120,56,1172,192,1058,27,630,1300,2741,3329,2013
23,25683,2,0,12,4,1221,204,1307,66,1168,194,1109,26,687,1189,2603,3341,2014
24,27872,19,0,22,9,1246,247,1586,67,1091,191,1006,20,690,1315,2542,3076,2015
25,33858,195,0,12,4,1338,280,2237,80,1071,236,1172,41,831,1595,2729,3334,2016
26,37794,418,0,27,9,1418,307,2537,81,1065,261,1321,22,860,1605,2595,3271,2017
27,40344,650,0,20,13,1273,304,2835,66,885,304,1373,25,977,1656,2465,3284,2018
28,45789,756,0,24,8,1696,361,3169,79,991,311,1323,44,1068,1804,2624,3627,2019
29,51277,933,0,29,8,1394,452,3751,52,668,393,1346,22,957,1889,2448,3343,2020
